date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:23	69324/69324	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:17:10%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/Leasing-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/Leasing-01.png	(from http://thepointsb.com/)
21:05:24	95685/95685	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:03%20GMT	http://thepointsb.com/news-2/	E:/Sites/ThePoint/thepointsb.com/news-2/index.html	(from http://thepointsb.com/)
21:05:28	70278/70278	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:17:11%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/Photo-Gallery-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/Photo-Gallery-01.png	(from http://thepointsb.com/)
21:05:31	76289/76289	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:19:56%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/Events-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/Events-01.png	(from http://thepointsb.com/)
21:05:36	67291/67291	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:19:56%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/Contact-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/Contact-01.png	(from http://thepointsb.com/)
21:05:36	47247/47247	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:16%20GMT	http://thepointsb.com/thepointleasing/	E:/Sites/ThePoint/thepointsb.com/thepointleasing/index.html	(from http://thepointsb.com/)
21:05:36	40143/40143	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:22%20GMT	http://thepointsb.com/gallery/	E:/Sites/ThePoint/thepointsb.com/gallery/index.html	(from http://thepointsb.com/)
21:05:37	8544/8544	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:54:29%20GMT	http://thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-01.png	E:/Sites/ThePoint/thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-01.png	(from http://thepointsb.com/)
21:05:39	12231/12231	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:56:32%20GMT	http://thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-02.png	E:/Sites/ThePoint/thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-02.png	(from http://thepointsb.com/)
21:05:39	10924/10924	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:57:22%20GMT	http://thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-03.png	E:/Sites/ThePoint/thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-03.png	(from http://thepointsb.com/)
21:05:39	9672/9672	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:58:07%20GMT	http://thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-04.png	E:/Sites/ThePoint/thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-04.png	(from http://thepointsb.com/)
21:05:40	39134/39134	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:27%20GMT	http://thepointsb.com/events/	E:/Sites/ThePoint/thepointsb.com/events/index.html	(from http://thepointsb.com/)
21:05:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Aug%202018%2004:05:39%20GMT	http://thepointsb.com/?page_id=1959&preview=true	E:/Sites/ThePoint/thepointsb.com/index681f.html	(from http://thepointsb.com/)
21:05:41	12432/12432	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:59:07%20GMT	http://thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-05.png	E:/Sites/ThePoint/thepoint.thepointsb.com/wp-content/uploads/2018/06/Social-Icons-the-Point-05.png	(from http://thepointsb.com/)
21:05:41	4916/4916	---M--	200	added ('OK')	image/png	date:Fri,%2018%20May%202018%2021:20:08%20GMT	http://thepointsb.com/wp-content/uploads/2018/05/HOmepage.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/05/HOmepage.png	(from http://thepointsb.com/)
21:05:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Aug%202018%2004:05:40%20GMT	http://thepointsb.com/home-3/	E:/Sites/ThePoint/thepointsb.com/home-3/index.html	(from http://thepointsb.com/)
21:05:43	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Aug%202018%2004:05:41%20GMT	http://thepointsb.com/wp-admin/admin-ajax.php	E:/Sites/ThePoint/thepointsb.com/wp-admin/admin-ajax.php	(from http://thepointsb.com/)
21:05:43	6361/6361	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2018:31:07%20GMT	http://thepointsb.com/wp-content/uploads/2018/05/FRIT-LOGO.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/05/FRIT-LOGO.png	(from http://thepointsb.com/)
21:05:44	26213/26213	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2019:52:53%20GMT	http://thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/animation.css?ver=4.9.8	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/animation5010.css	(from http://thepointsb.com/)
21:05:44	6011/6011	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2019:52:53%20GMT	http://thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/style.css?ver=4.9.8	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/style5010.css	(from http://thepointsb.com/)
21:05:45	4280/4280	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared//shortcodes/js/spin.min.js	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/shortcodes/js/spin.min.js	(from http://thepointsb.com/)
21:05:46	42847/42847	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:35%20GMT	http://thepointsb.com/contact/	E:/Sites/ThePoint/thepointsb.com/contact/index.html	(from http://thepointsb.com/)
21:05:49	23679/23679	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20May%202018%2019:05:49%20GMT	http://thepointsb.com/wp-content/plugins/forms-for-campaign-monitor/forms/views/public/js/app.js?ver=4.9.8	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/forms-for-campaign-monitor/forms/views/public/js/app5010.js	(from http://thepointsb.com/)
21:05:54	61732/61732	---M--	200	added ('OK')	application/javascript	date:Tue,%2007%20Aug%202018%2018:18:19%20GMT	http://thepointsb.com/wp-content/plugins/instagram-feed/js/sb-instagram.min.js?ver=1.9.1	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/instagram-feed/js/sb-instagram.min3109.js	(from http://thepointsb.com/)
21:05:55	1887/1887	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Jun%202018%2019:54:23%20GMT	http://thepointsb.com/wp-content/themes/Divi/includes/builder/scripts/ext/jquery.visible.min.js?ver=3.7	E:/Sites/ThePoint/thepointsb.com/wp-content/themes/Divi/includes/builder/scripts/ext/jquery.visible.minef85.js	(from http://thepointsb.com/)
21:05:55	1345/1345	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Jun%202018%2019:52:48%20GMT	http://thepointsb.com/wp-content/plugins/divi-builder/core/admin/js/common.js?ver=3.7	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-builder/core/admin/js/commonef85.js	(from http://thepointsb.com/)
21:05:56	463/463	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Aug%202018%2019:16:03%20GMT	http://thepointsb.com/wp-content/uploads/wtfdivi/wp_footer.js?ver=1534185335	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/wtfdivi/wp_footerb478.js	(from http://thepointsb.com/)
21:05:56	1398/1398	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2017:19:41%20GMT	http://thepointsb.com/wp-includes/js/wp-embed.min.js?ver=4.9.8	E:/Sites/ThePoint/thepointsb.com/wp-includes/js/wp-embed.min5010.js	(from http://thepointsb.com/)
21:05:57	3229/3229	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Jun%202018%2019:52:53%20GMT	http://thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/animation.js?ver=4.9.8	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/sb-image-hover-effects/public/animation5010.js	(from http://thepointsb.com/)
21:06:09	44958/44958	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:05:41%20GMT	http://thepointsb.com/e-list/	E:/Sites/ThePoint/thepointsb.com/e-list/index.html	(from http://thepointsb.com/)
21:06:09	723/723	---M--	200	added ('OK')	image/gif	date:Wed,%2020%20Jun%202018%2019:52:50%20GMT	http://thepointsb.com/wp-content/plugins/formidable/images/ajax_loader.gif	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/images/ajax_loader.gif	(from http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953)
21:06:16	38844/38844	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20Jun%202018%2019:52:50%20GMT	http://thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp.eot?v=3	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp30f4.eot	(from http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953)
21:06:23	38760/38760	---M--	200	added ('OK')	font/woff	date:Wed,%2020%20Jun%202018%2019:52:50%20GMT	http://thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp.woff?v=3	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp30f4.woff	(from http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953)
21:06:26	255697/255697	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Jun%202018%2019:54:23%20GMT	http://thepointsb.com/wp-content/themes/Divi/js/custom.min.js?ver=3.7	E:/Sites/ThePoint/thepointsb.com/wp-content/themes/Divi/js/custom.minef85.js	(from http://thepointsb.com/)
21:06:29	154068/154068	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Jun%202018%2019:52:50%20GMT	http://thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp.svg?v=3	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp30f4.svg	(from http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953)
21:06:31	38684/38684	---M--	200	added ('OK')	font/ttf	date:Wed,%2020%20Jun%202018%2019:52:50%20GMT	http://thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp.ttf?v=3	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/fonts/s11-fp30f4.ttf	(from http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953)
21:06:37	50852/50852	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.eot	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.eot	(from http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4)
21:06:37	37388/37388	---M--	200	added ('OK')	font/woff	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.woff	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.woff	(from http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4)
21:06:46	50852/50852	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.eot?	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicond41d.eot	(from http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4)
21:06:46	50688/50688	---M--	200	added ('OK')	font/ttf	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.ttf	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.ttf	(from http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4)
21:06:47	127287/127287	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.svg	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/fonts/socicon.svg	(from http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4)
21:06:47	151/151	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202018%2018:18:19%20GMT	http://thepointsb.com/wp-content/plugins/instagram-feed/img/loader.png	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/instagram-feed/img/loader.png	(from http://thepointsb.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.9.1)
21:06:47	1312/1312	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202018%2018:18:19%20GMT	http://thepointsb.com/wp-content/plugins/instagram-feed/img/small-logo.png	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/instagram-feed/img/small-logo.png	(from http://thepointsb.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.9.1)
21:06:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Aug%202018%2004:06:46%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/images/map.png	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/shortcodes/css/images/map.png	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:06:54	18635/18635	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Aug%202018%2004:06:47%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages/shared/shortcodes/css/images/map.png	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/shortcodes/css/images/map.png	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:07:07	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=3.0.2	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/assets/fonts/fontawesome/fonts/fontawesome-webfont994f.eot	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:07:08	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/assets/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:07:23	90412/90412	---M--	200	added ('OK')	font/woff	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff?v=3.0.2	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/assets/fonts/fontawesome/fonts/fontawesome-webfont994f.woff	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:07:33	152796/152796	---M--	200	added ('OK')	font/ttf	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/assets/fonts/fontawesome/fonts/fontawesome-webfont.ttf?v=3.0.2	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/assets/fonts/fontawesome/fonts/fontawesome-webfont994f.ttf	(from http://thepointsb.com/wp-content/plugins/landing-pages//shared/shortcodes/css/frontend-render.css?ver=4.9.8)
21:07:38	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20Jun%202018%2019:54:23%20GMT	http://thepointsb.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	E:/Sites/ThePoint/thepointsb.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	(from http://thepointsb.com/wp-content/themes/Divi/style.css?ver=4.9.8)
